,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_listings_count,property_type,room_type,accommodates,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,instant_bookable
98,3367,within an hour,100,100,2,villa,Private room,2,1,78,3,365,1,324,Available
99,3434,within a day,40,68,2,bunglow,Private room,2,1,80,2,31,0,8,Not Available
100,3361,within a day,40,100,1,tent,Private room,2,1,105,3,1125,365,209,Available
101,3366,within a day,40,0,2,condo,Private room,2,1,115,7,14,358,25,Available
102,3358,within a day,40,68,1,cabin,Entire home/apt,3,3,74,1,365,0,5,Not Available
103,3353,within a day,40,100,1,cabin,Entire home/apt,2,1,195,5,9,49,90,Available
104,3347,within a day,40,68,1,tent,Entire home/apt,4,2,125,3,25,0,83,Not Available
105,3344,within a day,40,68,1,cottage,Entire home/apt,5,3,112,5,1125,0,14,Not Available
106,3771,within a few hours,82,77,2,condo,Entire home/apt,2,2,51,2,1125,327,101,Not Available
107,3342,within a day,40,80,1,villa,Entire home/apt,2,1,95,3,30,0,52,Not Available
108,3342,within a day,83,62,1,tent,Entire home/apt,3,1,135,2,1125,132,89,Not Available
109,3340,within a day,40,100,1,cabin,Entire home/apt,4,4,275,1,25,363,129,Not Available
110,3457,within a day,40,83,0,cabin,Entire home/apt,4,2,200,3,21,208,21,Available
111,3338,within a few hours,90,68,2,chalet,Entire home/apt,16,16,600,2,30,363,99,Available
112,3457,within a day,40,83,0,chalet,Entire home/apt,2,1,125,3,21,0,2,Not Available
113,3457,within a day,40,83,0,bunglow,Private room,2,1,70,3,10,136,35,Available
114,3341,within a day,40,68,1,cottage,Entire home/apt,2,2,175,2,21,0,75,Not Available
115,3334,within a day,40,68,1,chalet,Entire home/apt,2,1,169,2,130,0,28,Available
116,3334,within a day,40,100,2,tent,Entire home/apt,2,1,190,3,666,352,81,Available
117,3473,within a day,40,68,1,tent,Entire home/apt,2,1,95,3,30,0,53,Available
118,3329,within a day,40,68,1,villa,Entire home/apt,2,1,199,2,11250,90,38,Available
119,3323,within an hour,93,82,3,chalet,Entire home/apt,4,2,71,1,90,40,352,Not Available
120,3323,within a day,40,68,1,cottage,Entire home/apt,4,2,88,1,7,0,32,Not Available
121,3316,within a day,40,99,3,condo,Private room,4,4,148,3,1125,0,535,Not Available
122,3313,within a day,40,68,1,studio apartment,Entire home/apt,4,4,220,2,14,0,27,Available
123,3305,within a day,40,68,1,villa,Entire home/apt,2,1,150,4,30,87,37,Not Available
124,3303,within a few hours,100,92,2,villa,Private room,2,1,59,4,30,144,390,Available
125,3301,within a day,40,100,1,tent,Entire home/apt,4,3,169,2,19,0,43,Not Available
126,3296,within a day,40,68,1,studio apartment,Entire home/apt,4,3,395,7,365,358,3,Available
127,3289,within a day,40,68,0,bunglow,Entire home/apt,2,1,200,3,3,363,27,Available
128,3289,within a day,40,55,1,villa,Entire home/apt,4,4,245,2,1125,53,84,Not Available
129,3287,within an hour,100,81,8,chalet,Entire home/apt,2,3,95,7,1125,90,107,Not Available
130,3286,within a day,40,68,1,villa,Entire home/apt,2,1,99,6,30,0,52,Available
131,3282,within a day,40,68,1,studio apartment,Entire home/apt,2,1,300,3,11,89,11,Available
132,3282,within a few hours,100,75,1,bunglow,Entire home/apt,2,1,88,3,12,11,68,Not Available
133,3275,within an hour,100,100,1,tent,Entire home/apt,2,1,280,2,30,250,104,Available
134,3274,within a day,40,100,2,cabin,Private room,2,1,249,3,1125,0,82,Available
135,3271,within a day,40,0,1,cottage,Entire home/apt,3,1,250,2,100,0,109,Not Available
136,3269,within a day,40,68,1,cottage,Entire home/apt,4,2,295,4,13,0,55,Available
137,3265,within a day,40,100,1,studio apartment,Private room,2,1,85,3,7,0,574,Available
138,3260,within an hour,100,100,1,cabin,Entire home/apt,2,1,110,2,1125,350,194,Available
139,3720,within a day,40,68,1,cottage,Entire home/apt,4,3,133,2,1125,0,8,Not Available
140,3256,within a day,40,68,1,villa,Entire home/apt,3,2,199,20,20,0,23,Not Available
141,3254,within an hour,100,0,0,bunglow,Entire home/apt,2,2,45,3,40,41,7,Not Available
142,3252,within a day,40,68,1,cabin,Entire home/apt,2,1,98,4,30,83,7,Not Available
143,3252,within a day,40,68,1,bunglow,Entire home/apt,4,3,280,180,365,358,78,Available
144,3412,within a few hours,100,73,1,condo,Entire home/apt,3,1,145,2,30,362,67,Not Available
